Order_ID,Revenue,Profit,Cost,Quantity,Units_Price,Profit_Margin,Category,Sub_Category,Payment_Mode,Order_Date,Customer_Name,State,City,Year_Month,,,
B-25394,3686.00,760.00,2926.00,20,184.30,0.21,Office Supplies,Pens,Debit Card,1/15/22,Richard Wolfe,Ohio,Columbus,2022-01,,,
B-26157,6045.00,1606.00,4439.00,4,1511.25,0.27,Office Supplies,Paper,COD,12/14/23,Sierra Rios,Florida,Orlando,2023-12,,,
B-26157,9337.00,554.00,8783.00,11,848.82,0.06,Office Supplies,Pens,COD,12/14/23,Sierra Rios,Florida,Orlando,2023-12,,,
B-25555,4051.00,1848.00,2203.00,12,337.58,0.46,Electronics,Phones,Credit Card,7/3/23,Jessica Richardson,California,San Diego,2023-07,,,
B-25555,4051.00,1848.00,2203.00,12,337.58,0.46,Electronics,Phones,Credit Card,5/8/21,Kimberly Warren,Ohio,Cincinnati,2021-05,,,
B-25555,5011.00,866.00,4145.00,11,455.55,0.17,Furniture,Bookcases,Credit Card,7/3/23,Jessica Richardson,California,San Diego,2023-07,,,
B-25555,5011.00,866.00,4145.00,11,455.55,0.17,Furniture,Bookcases,Credit Card,5/8/21,Kimberly Warren,Ohio,Cincinnati,2021-05,,,
B-26139,3958.00,630.00,3328.00,15,263.87,0.16,Furniture,Sofas,EMI,10/7/22,Casey Garcia,Florida,Orlando,2022-10,,,
B-26139,3132.00,963.00,2169.00,1,3132.00,0.31,Furniture,Tables,Debit Card,10/7/22,Casey Garcia,Florida,Orlando,2022-10,,,
B-25032,7784.00,2937.00,4847.00,12,648.67,0.38,Office Supplies,Markers,UPI,8/6/24,Denise Hampton,California,San Francisco,2024-08,,,
B-25032,5591.00,1696.00,3895.00,3,1863.67,0.30,Office Supplies,Pens,COD,8/6/24,Denise Hampton,California,San Francisco,2024-08,,,
B-25032,5122.00,2413.00,2709.00,12,426.83,0.47,Electronics,Electronic Games,COD,8/6/24,Denise Hampton,California,San Francisco,2024-08,,,
B-25730,8293.00,2632.00,5661.00,8,1036.63,0.32,Office Supplies,Binders,COD,1/5/22,Justin Rodriguez,Ohio,Cleveland,2022-01,,,
B-25730,8293.00,2632.00,5661.00,8,1036.63,0.32,Office Supplies,Binders,COD,10/17/20,Ms. Emily Baxter,New York,Rochester,2020-10,,,
B-25730,8293.00,2632.00,5661.00,8,1036.63,0.32,Office Supplies,Binders,COD,8/21/23,Austin White,California,Los Angeles,2023-08,,,
B-25730,2863.00,205.00,2658.00,17,168.41,0.07,Electronics,Phones,UPI,1/5/22,Justin Rodriguez,Ohio,Cleveland,2022-01,,,
B-25730,2863.00,205.00,2658.00,17,168.41,0.07,Electronics,Phones,UPI,10/17/20,Ms. Emily Baxter,New York,Rochester,2020-10,,,
B-25730,2863.00,205.00,2658.00,17,168.41,0.07,Electronics,Phones,UPI,8/21/23,Austin White,California,Los Angeles,2023-08,,,
B-26470,3090.00,573.00,2517.00,6,515.00,0.19,Furniture,Tables,EMI,12/27/24,Morgan Montes,California,San Diego,2024-12,,,
B-26470,3090.00,573.00,2517.00,6,515.00,0.19,Furniture,Tables,EMI,6/18/21,Christine Mosley,Ohio,Cincinnati,2021-06,,,
B-26470,3090.00,573.00,2517.00,6,515.00,0.19,Furniture,Tables,EMI,5/27/23,Ashley Rodriguez,Texas,Austin,2023-05,,,
B-26470,3090.00,573.00,2517.00,6,515.00,0.19,Furniture,Tables,EMI,10/12/21,Elizabeth King,Texas,Dallas,2021-10,,,
B-26470,9683.00,1014.00,8669.00,5,1936.60,0.10,Electronics,Printers,UPI,12/27/24,Morgan Montes,California,San Diego,2024-12,,,
B-26470,9683.00,1014.00,8669.00,5,1936.60,0.10,Electronics,Printers,UPI,6/18/21,Christine Mosley,Ohio,Cincinnati,2021-06,,,
B-26470,9683.00,1014.00,8669.00,5,1936.60,0.10,Electronics,Printers,UPI,5/27/23,Ashley Rodriguez,Texas,Austin,2023-05,,,
B-26470,9683.00,1014.00,8669.00,5,1936.60,0.10,Electronics,Printers,UPI,10/12/21,Elizabeth King,Texas,Dallas,2021-10,,,
B-25988,2463.00,648.00,1815.00,18,136.83,0.26,Furniture,Tables,EMI,9/19/22,Connie Holmes,Ohio,Cincinnati,2022-09,,,
B-25568,7811.00,1538.00,6273.00,12,650.92,0.20,Furniture,Sofas,COD,3/25/22,Melissa Peck,Florida,Miami,2022-03,,,
B-26730,6139.00,451.00,5688.00,10,613.90,0.07,Furniture,Tables,Debit Card,2/26/22,David Smith,Florida,Orlando,2022-02,,,
B-26730,6139.00,451.00,5688.00,10,613.90,0.07,Furniture,Tables,Debit Card,4/5/21,Jacqueline Harris,Texas,Houston,2021-04,,,
B-26730,8636.00,3192.00,5444.00,3,2878.67,0.37,Furniture,Chairs,COD,2/26/22,David Smith,Florida,Orlando,2022-02,,,
B-26730,8636.00,3192.00,5444.00,3,2878.67,0.37,Furniture,Chairs,COD,4/5/21,Jacqueline Harris,Texas,Houston,2021-04,,,
B-26730,4439.00,1712.00,2727.00,19,233.63,0.39,Furniture,Sofas,Credit Card,2/26/22,David Smith,Florida,Orlando,2022-02,,,
B-26730,4439.00,1712.00,2727.00,19,233.63,0.39,Furniture,Sofas,Credit Card,4/5/21,Jacqueline Harris,Texas,Houston,2021-04,,,
B-25372,1016.00,172.00,844.00,20,50.80,0.17,Furniture,Tables,Debit Card,11/16/20,Heather Jenkins,New York,Buffalo,2020-11,,,
B-25372,5768.00,2059.00,3709.00,14,412.00,0.36,Furniture,Tables,UPI,11/16/20,Heather Jenkins,New York,Buffalo,2020-11,,,
B-25372,1217.00,151.00,1066.00,3,405.67,0.12,Furniture,Tables,Credit Card,11/16/20,Heather Jenkins,New York,Buffalo,2020-11,,,
B-26026,953.00,93.00,860.00,2,476.50,0.10,Office Supplies,Paper,Debit Card,12/12/24,Kelsey Castaneda,Ohio,Cleveland,2024-12,,,
B-26026,953.00,93.00,860.00,2,476.50,0.10,Office Supplies,Paper,Debit Card,4/6/23,Katherine Harris,California,Los Angeles,2023-04,,,
B-26026,7355.00,1034.00,6321.00,3,2451.67,0.14,Furniture,Sofas,COD,12/12/24,Kelsey Castaneda,Ohio,Cleveland,2024-12,,,
B-26026,7355.00,1034.00,6321.00,3,2451.67,0.14,Furniture,Sofas,COD,4/6/23,Katherine Harris,California,Los Angeles,2023-04,,,
B-26026,1843.00,248.00,1595.00,3,614.33,0.13,Electronics,Phones,Credit Card,12/12/24,Kelsey Castaneda,Ohio,Cleveland,2024-12,,,
B-26026,1843.00,248.00,1595.00,3,614.33,0.13,Electronics,Phones,Credit Card,4/6/23,Katherine Harris,California,Los Angeles,2023-04,,,
B-26026,1603.00,361.00,1242.00,10,160.30,0.23,Office Supplies,Pens,Debit Card,12/12/24,Kelsey Castaneda,Ohio,Cleveland,2024-12,,,
B-26026,1603.00,361.00,1242.00,10,160.30,0.23,Office Supplies,Pens,Debit Card,4/6/23,Katherine Harris,California,Los Angeles,2023-04,,,
B-25295,2025.00,528.00,1497.00,1,2025.00,0.26,Office Supplies,Pens,Credit Card,1/28/24,Paul Rogers,Florida,Miami,2024-01,,,
B-25295,6800.00,167.00,6633.00,16,425.00,0.02,Office Supplies,Binders,EMI,1/28/24,Paul Rogers,Florida,Miami,2024-01,,,
B-26121,1126.00,55.00,1071.00,1,1126.00,0.05,Furniture,Bookcases,UPI,1/16/22,Jon Banks,Florida,Tampa,2022-01,,,
B-26121,1126.00,55.00,1071.00,1,1126.00,0.05,Furniture,Bookcases,UPI,12/16/22,Michelle Williams,New York,Buffalo,2022-12,,,
B-25560,7533.00,3508.00,4025.00,12,627.75,0.47,Furniture,Tables,UPI,7/13/23,Andrew Allen,California,San Diego,2023-07,,,
B-25560,4734.00,1178.00,3556.00,16,295.88,0.25,Office Supplies,Binders,Credit Card,7/13/23,Andrew Allen,California,San Diego,2023-07,,,
B-25560,4074.00,1175.00,2899.00,6,679.00,0.29,Electronics,Electronic Games,Debit Card,7/13/23,Andrew Allen,California,San Diego,2023-07,,,
B-25560,2334.00,484.00,1850.00,3,778.00,0.21,Furniture,Sofas,Credit Card,7/13/23,Andrew Allen,California,San Diego,2023-07,,,
B-26076,2750.00,1239.00,1511.00,11,250.00,0.45,Electronics,Phones,Debit Card,3/10/25,Vanessa Bauer,New York,Buffalo,2025-03,,,
B-26076,2750.00,1239.00,1511.00,11,250.00,0.45,Electronics,Phones,Debit Card,9/24/24,Sean Smith,Ohio,Cleveland,2024-09,,,
B-26076,8639.00,3104.00,5535.00,19,454.68,0.36,Office Supplies,Pens,EMI,3/10/25,Vanessa Bauer,New York,Buffalo,2025-03,,,
B-26076,8639.00,3104.00,5535.00,19,454.68,0.36,Office Supplies,Pens,EMI,9/24/24,Sean Smith,Ohio,Cleveland,2024-09,,,
B-25872,3808.00,1192.00,2616.00,4,952.00,0.31,Office Supplies,Markers,UPI,4/13/20,Shelly Sweeney,New York,New York City,2020-04,,,
B-25872,2588.00,705.00,1883.00,16,161.75,0.27,Office Supplies,Pens,Credit Card,4/13/20,Shelly Sweeney,New York,New York City,2020-04,,,
B-26185,1591.00,727.00,864.00,5,318.20,0.46,Electronics,Electronic Games,Credit Card,6/27/22,Emily Gill,Illinois,Springfield,2022-06,,,
B-26185,1591.00,727.00,864.00,5,318.20,0.46,Electronics,Electronic Games,Credit Card,3/14/21,Brian Patrick,Florida,Tampa,2021-03,,,
B-26185,1591.00,727.00,864.00,5,318.20,0.46,Electronics,Electronic Games,Credit Card,2/23/22,Dr. Sarah Booth,Ohio,Cincinnati,2022-02,,,
B-26259,1757.00,622.00,1135.00,10,175.70,0.35,Furniture,Chairs,UPI,3/29/22,Douglas Mcfarland,Ohio,Cleveland,2022-03,,,
B-26259,1757.00,622.00,1135.00,10,175.70,0.35,Furniture,Chairs,UPI,11/20/22,Kayla Ross,Illinois,Peoria,2022-11,,,
B-25142,6940.00,253.00,6687.00,15,462.67,0.04,Furniture,Bookcases,Debit Card,11/12/21,Marc Strickland,Florida,Orlando,2021-11,,,
B-25142,5105.00,465.00,4640.00,5,1021.00,0.09,Electronics,Printers,UPI,11/12/21,Marc Strickland,Florida,Orlando,2021-11,,,
B-25326,5578.00,277.00,5301.00,16,348.63,0.05,Furniture,Tables,COD,8/17/21,Charlene Brown,Florida,Miami,2021-08,,,
B-25326,5578.00,277.00,5301.00,16,348.63,0.05,Furniture,Tables,COD,5/16/22,Charles Smith,Ohio,Columbus,2022-05,,,
B-26795,5224.00,1958.00,3266.00,16,326.50,0.37,Furniture,Chairs,Credit Card,7/16/23,Karen Townsend,Texas,Houston,2023-07,,,
B-26795,5002.00,1801.00,3201.00,11,454.73,0.36,Office Supplies,Markers,Credit Card,7/16/23,Karen Townsend,Texas,Houston,2023-07,,,
B-26795,7380.00,1673.00,5707.00,18,410.00,0.23,Office Supplies,Markers,COD,7/16/23,Karen Townsend,Texas,Houston,2023-07,,,
B-25660,7595.00,2873.00,4722.00,4,1898.75,0.38,Furniture,Chairs,Debit Card,8/18/20,Steven Cox,California,Los Angeles,2020-08,,,
B-25660,7595.00,2873.00,4722.00,4,1898.75,0.38,Furniture,Chairs,Debit Card,4/19/22,Cynthia Rodriguez,New York,Rochester,2022-04,,,
B-25410,1954.00,294.00,1660.00,7,279.14,0.15,Furniture,Sofas,Debit Card,12/23/22,Jessica Baker,Texas,Austin,2022-12,,,
B-25690,523.00,95.00,428.00,20,26.15,0.18,Electronics,Printers,EMI,12/7/24,Mark Blackburn,Texas,Dallas,2024-12,,,
B-26464,5704.00,714.00,4990.00,13,438.77,0.13,Electronics,Laptops,EMI,2/3/22,Zachary Perez,Texas,Austin,2022-02,,,
B-26464,5704.00,714.00,4990.00,13,438.77,0.13,Electronics,Laptops,EMI,12/12/21,Brian Green,California,San Diego,2021-12,,,
B-26464,8797.00,1010.00,7787.00,8,1099.63,0.11,Furniture,Tables,UPI,2/3/22,Zachary Perez,Texas,Austin,2022-02,,,
B-26464,8797.00,1010.00,7787.00,8,1099.63,0.11,Furniture,Tables,UPI,12/12/21,Brian Green,California,San Diego,2021-12,,,
B-26464,9236.00,2899.00,6337.00,5,1847.20,0.31,Electronics,Laptops,Debit Card,2/3/22,Zachary Perez,Texas,Austin,2022-02,,,
B-26464,9236.00,2899.00,6337.00,5,1847.20,0.31,Electronics,Laptops,Debit Card,12/12/21,Brian Green,California,San Diego,2021-12,,,
B-26454,9109.00,586.00,8523.00,17,535.82,0.06,Furniture,Sofas,EMI,5/17/20,Becky Leach,Florida,Miami,2020-05,,,
B-26742,4358.00,526.00,3832.00,19,229.37,0.12,Electronics,Phones,Credit Card,12/5/22,Bryan Russell,Texas,Dallas,2022-12,,,
B-26742,4358.00,526.00,3832.00,19,229.37,0.12,Electronics,Phones,Credit Card,9/17/24,Tony Maddox,California,San Francisco,2024-09,,,
B-26742,6459.00,825.00,5634.00,8,807.38,0.13,Electronics,Phones,Credit Card,12/5/22,Bryan Russell,Texas,Dallas,2022-12,,,
B-26742,6459.00,825.00,5634.00,8,807.38,0.13,Electronics,Phones,Credit Card,9/17/24,Tony Maddox,California,San Francisco,2024-09,,,
B-25510,2478.00,92.00,2386.00,12,206.50,0.04,Furniture,Bookcases,COD,5/8/23,Jason Randolph,California,San Francisco,2023-05,,,
B-25510,2478.00,92.00,2386.00,12,206.50,0.04,Furniture,Bookcases,COD,3/3/21,Laura Andrews,New York,New York City,2021-03,,,
B-25510,2478.00,92.00,2386.00,12,206.50,0.04,Furniture,Bookcases,COD,3/18/21,Mrs. Stephanie Hooper,California,San Francisco,2021-03,,,
B-25510,2478.00,92.00,2386.00,12,206.50,0.04,Furniture,Bookcases,COD,4/24/23,Anthony Evans,Ohio,Cleveland,2023-04,,,
B-25936,9992.00,3696.00,6296.00,20,499.60,0.37,Office Supplies,Pens,Debit Card,10/9/21,Patrick Williams,New York,Rochester,2021-10,,,
B-25936,9992.00,3696.00,6296.00,20,499.60,0.37,Office Supplies,Pens,Debit Card,4/15/22,Susan Burke,Texas,Austin,2022-04,,,
B-25936,9992.00,3696.00,6296.00,20,499.60,0.37,Office Supplies,Pens,Debit Card,8/29/22,Brent Hernandez,New York,Rochester,2022-08,,,
B-25936,9619.00,3420.00,6199.00,7,1374.14,0.36,Office Supplies,Binders,UPI,10/9/21,Patrick Williams,New York,Rochester,2021-10,,,
B-25936,9619.00,3420.00,6199.00,7,1374.14,0.36,Office Supplies,Binders,UPI,4/15/22,Susan Burke,Texas,Austin,2022-04,,,
B-25936,9619.00,3420.00,6199.00,7,1374.14,0.36,Office Supplies,Binders,UPI,8/29/22,Brent Hernandez,New York,Rochester,2022-08,,,
B-25884,9538.00,3158.00,6380.00,20,476.90,0.33,Electronics,Printers,Credit Card,9/4/24,Sean Elliott,California,San Francisco,2024-09,,,
B-25884,9538.00,3158.00,6380.00,20,476.90,0.33,Electronics,Printers,Credit Card,5/18/21,Wanda West,Ohio,Cleveland,2021-05,,,
B-25884,9035.00,1227.00,7808.00,14,645.36,0.14,Furniture,Chairs,EMI,9/4/24,Sean Elliott,California,San Francisco,2024-09,,,
B-25884,9035.00,1227.00,7808.00,14,645.36,0.14,Furniture,Chairs,EMI,5/18/21,Wanda West,Ohio,Cleveland,2021-05,,,
B-26287,2684.00,670.00,2014.00,2,1342.00,0.25,Office Supplies,Paper,COD,7/2/24,Renee Solomon,Florida,Tampa,2024-07,,,
B-26287,822.00,147.00,675.00,5,164.40,0.18,Furniture,Sofas,Credit Card,7/2/24,Renee Solomon,Florida,Tampa,2024-07,,,
B-26287,9730.00,2341.00,7389.00,2,4865.00,0.24,Furniture,Chairs,EMI,7/2/24,Renee Solomon,Florida,Tampa,2024-07,,,
B-26287,2483.00,236.00,2247.00,2,1241.50,0.10,Electronics,Electronic Games,COD,7/2/24,Renee Solomon,Florida,Tampa,2024-07,,,
B-26564,1297.00,600.00,697.00,7,185.29,0.46,Office Supplies,Binders,Credit Card,2/16/24,Daryl Miles,Florida,Orlando,2024-02,,,
B-26564,7909.00,1942.00,5967.00,19,416.26,0.25,Electronics,Phones,COD,2/16/24,Daryl Miles,Florida,Orlando,2024-02,,,
B-26293,9768.00,4518.00,5250.00,8,1221.00,0.46,Furniture,Tables,Credit Card,11/26/21,Michael Hunt,Texas,Dallas,2021-11,,,
B-26293,4968.00,934.00,4034.00,5,993.60,0.19,Furniture,Sofas,Debit Card,11/26/21,Michael Hunt,Texas,Dallas,2021-11,,,
B-26293,1731.00,149.00,1582.00,4,432.75,0.09,Electronics,Laptops,EMI,11/26/21,Michael Hunt,Texas,Dallas,2021-11,,,
B-25915,3433.00,1169.00,2264.00,10,343.30,0.34,Office Supplies,Binders,COD,2/1/24,Adam Clark,California,San Francisco,2024-02,,,
B-25915,3433.00,1169.00,2264.00,10,343.30,0.34,Office Supplies,Binders,COD,9/9/21,Amy Olsen,Illinois,Springfield,2021-09,,,
B-25915,3433.00,1169.00,2264.00,10,343.30,0.34,Office Supplies,Binders,COD,9/8/21,Stacey Miller,California,San Diego,2021-09,,,
B-25915,3887.00,1490.00,2397.00,1,3887.00,0.38,Office Supplies,Binders,Debit Card,2/1/24,Adam Clark,California,San Francisco,2024-02,,,
B-25915,3887.00,1490.00,2397.00,1,3887.00,0.38,Office Supplies,Binders,Debit Card,9/9/21,Amy Olsen,Illinois,Springfield,2021-09,,,
B-25915,3887.00,1490.00,2397.00,1,3887.00,0.38,Office Supplies,Binders,Debit Card,9/8/21,Stacey Miller,California,San Diego,2021-09,,,
B-26496,1801.00,641.00,1160.00,20,90.05,0.36,Office Supplies,Markers,Credit Card,7/9/24,Daniel Mosley,California,Los Angeles,2024-07,,,
B-26496,5301.00,817.00,4484.00,10,530.10,0.15,Furniture,Tables,Debit Card,7/9/24,Daniel Mosley,California,Los Angeles,2024-07,,,
B-26496,1166.00,520.00,646.00,12,97.17,0.45,Office Supplies,Paper,Debit Card,7/9/24,Daniel Mosley,California,Los Angeles,2024-07,,,
B-26496,3196.00,1411.00,1785.00,15,213.07,0.44,Office Supplies,Paper,Debit Card,7/9/24,Daniel Mosley,California,Los Angeles,2024-07,,,
B-25856,3428.00,350.00,3078.00,1,3428.00,0.10,Furniture,Chairs,Credit Card,2/28/23,Monica Gibson,Illinois,Springfield,2023-02,,,
B-25856,7223.00,2433.00,4790.00,12,601.92,0.34,Office Supplies,Binders,Credit Card,2/28/23,Monica Gibson,Illinois,Springfield,2023-02,,,
B-25856,3731.00,647.00,3084.00,1,3731.00,0.17,Office Supplies,Pens,Credit Card,2/28/23,Monica Gibson,Illinois,Springfield,2023-02,,,
B-26899,8903.00,4401.00,4502.00,18,494.61,0.49,Office Supplies,Pens,Credit Card,8/8/22,Christopher Jordan,Ohio,Columbus,2022-08,,,
B-25916,6009.00,2107.00,3902.00,7,858.43,0.35,Electronics,Phones,UPI,12/7/22,Christina Davis,Illinois,Chicago,2022-12,,,
B-25916,6009.00,2107.00,3902.00,7,858.43,0.35,Electronics,Phones,UPI,4/29/24,Claudia Curry,Texas,Austin,2024-04,,,
B-25916,2858.00,230.00,2628.00,3,952.67,0.08,Furniture,Tables,Credit Card,12/7/22,Christina Davis,Illinois,Chicago,2022-12,,,
B-25916,2858.00,230.00,2628.00,3,952.67,0.08,Furniture,Tables,Credit Card,4/29/24,Claudia Curry,Texas,Austin,2024-04,,,
B-25916,8175.00,525.00,7650.00,7,1167.86,0.06,Furniture,Sofas,Credit Card,12/7/22,Christina Davis,Illinois,Chicago,2022-12,,,
B-25916,8175.00,525.00,7650.00,7,1167.86,0.06,Furniture,Sofas,Credit Card,4/29/24,Claudia Curry,Texas,Austin,2024-04,,,
B-25916,5846.00,586.00,5260.00,18,324.78,0.10,Furniture,Sofas,UPI,12/7/22,Christina Davis,Illinois,Chicago,2022-12,,,
B-25916,5846.00,586.00,5260.00,18,324.78,0.10,Furniture,Sofas,UPI,4/29/24,Claudia Curry,Texas,Austin,2024-04,,,
B-26428,706.00,197.00,509.00,11,64.18,0.28,Electronics,Laptops,Credit Card,1/2/22,Brandon Anderson,Texas,Austin,2022-01,,,
B-26332,9835.00,2571.00,7264.00,16,614.69,0.26,Furniture,Tables,COD,6/10/22,George Foster,Texas,Dallas,2022-06,,,
B-26332,9835.00,2571.00,7264.00,16,614.69,0.26,Furniture,Tables,COD,11/16/21,Nicholas Anderson,Florida,Orlando,2021-11,,,
B-26332,9835.00,2571.00,7264.00,16,614.69,0.26,Furniture,Tables,COD,8/17/22,Emily Ellison,California,Los Angeles,2022-08,,,
B-26332,9691.00,3056.00,6635.00,13,745.46,0.32,Office Supplies,Markers,Credit Card,6/10/22,George Foster,Texas,Dallas,2022-06,,,
B-26332,9691.00,3056.00,6635.00,13,745.46,0.32,Office Supplies,Markers,Credit Card,11/16/21,Nicholas Anderson,Florida,Orlando,2021-11,,,
B-26332,9691.00,3056.00,6635.00,13,745.46,0.32,Office Supplies,Markers,Credit Card,8/17/22,Emily Ellison,California,Los Angeles,2022-08,,,
B-26332,7826.00,1221.00,6605.00,14,559.00,0.16,Furniture,Bookcases,UPI,6/10/22,George Foster,Texas,Dallas,2022-06,,,
B-26332,7826.00,1221.00,6605.00,14,559.00,0.16,Furniture,Bookcases,UPI,11/16/21,Nicholas Anderson,Florida,Orlando,2021-11,,,
B-26332,7826.00,1221.00,6605.00,14,559.00,0.16,Furniture,Bookcases,UPI,8/17/22,Emily Ellison,California,Los Angeles,2022-08,,,
B-25303,770.00,241.00,529.00,11,70.00,0.31,Furniture,Sofas,COD,11/23/21,Darren Perez,Texas,Austin,2021-11,,,
B-25303,770.00,241.00,529.00,11,70.00,0.31,Furniture,Sofas,COD,3/4/23,Michelle Hunter,Ohio,Cincinnati,2023-03,,,
B-26507,9895.00,1598.00,8297.00,20,494.75,0.16,Furniture,Bookcases,COD,12/16/23,Janet Guerrero,New York,Rochester,2023-12,,,
B-25983,6517.00,1581.00,4936.00,10,651.70,0.24,Office Supplies,Paper,Debit Card,5/19/24,Jeffrey Kline,Florida,Miami,2024-05,,,
B-25983,6517.00,1581.00,4936.00,10,651.70,0.24,Office Supplies,Paper,Debit Card,5/14/20,Ryan Bullock,Florida,Tampa,2020-05,,,
B-25983,1166.00,349.00,817.00,11,106.00,0.30,Furniture,Tables,Credit Card,5/19/24,Jeffrey Kline,Florida,Miami,2024-05,,,
B-25983,1166.00,349.00,817.00,11,106.00,0.30,Furniture,Tables,Credit Card,5/14/20,Ryan Bullock,Florida,Tampa,2020-05,,,
B-25156,9820.00,793.00,9027.00,16,613.75,0.08,Furniture,Chairs,Credit Card,8/29/21,Tom Lawson,New York,Buffalo,2021-08,,,
B-26759,8563.00,2624.00,5939.00,8,1070.38,0.31,Office Supplies,Binders,COD,11/10/24,Rebecca Smith,Texas,Dallas,2024-11,,,
B-26759,4441.00,281.00,4160.00,20,222.05,0.06,Electronics,Printers,COD,11/10/24,Rebecca Smith,Texas,Dallas,2024-11,,,
B-26244,7340.00,2271.00,5069.00,8,917.50,0.31,Office Supplies,Paper,EMI,12/5/21,William Welch,Florida,Orlando,2021-12,,,
B-26244,5442.00,1610.00,3832.00,1,5442.00,0.30,Electronics,Phones,EMI,12/5/21,William Welch,Florida,Orlando,2021-12,,,
